IATA,Name,City,Country
ABR,Aberdeen Regional Airport,Aberdeen,United States
ABI,Abilene Regional Airport,Abilene,United States
ARA,Acadiana Regional Airport,New Iberia,United States
ADK,Adak Airport,Adak Island,United States
SLK,Adirondack Regional Airport,Saranac Lake,United States
CAK,Akron Canton Regional Airport,Akron,United States
AKC,Akron Fulton International Airport,Akron,United States
ALM,Alamogordo White Sands Regional Airport,Alamogordo,United States
ALB,Albany International Airport,Albany,United States
OAJ,Albert J Ellis Airport,Jacksonville,United States
WKK,Aleknagik / New Airport,Aleknagik,United States
AEX,Alexandria International Airport,Alexandria,United States
ALI,Alice International Airport,Alice,United States
AGC,Allegheny County Airport,Pittsburgh,United States
BIG,Allen Army Airfield,Delta Junction Ft Greely,United States
APN,Alpena County Regional Airport,Alpena,United States
AOO,Altoona Blair County Airport,Altoona,United States
ABL,Ambler Airport,Ambler,United States
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States
AND,Anderson Regional Airport,Anderson,United States
LFK,Angelina County Airport,Lufkin,United States
ANI,Aniak Airport,Aniak,United States
ANN,Annette Island Airport,Annette,United States
ANB,Anniston Regional Airport,Anniston,United States
ANV,Anvik Airport,Anvik,United States
ARC,Arctic Village Airport,Arctic Village,United States
BYH,Arkansas International Airport,Blytheville,United States
LBE,Arnold Palmer Regional Airport,Latrobe,United States
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,United States
AST,Astoria Regional Airport,Astoria,United States
AHN,Athens Ben Epps Airport,Athens,United States
ACY,Atlantic City International Airport,Atlantic City,United States
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States
AUG,Augusta State Airport,Augusta,United States
BKE,Baker City Municipal Airport,Baker City,United States
BKH,Barking Sands Airport,Kekaha,United States
PAH,Barkley Regional Airport,Paducah,United States
HYA,Barnstable Municipal Boardman Polando Field,Hyannis,United States
DAG,Barstow Daggett Airport,Daggett,United States
BTI,Barter Island LRRS Airport,Barter Island Lrrs,United States
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,United States
BDE,Baudette International Airport,Baudette,United States
DRI,Beauregard Regional Airport,De Ridder,United States
BFP,Beaver County Airport,Beaver Falls,United States
BLI,Bellingham International Airport,Bellingham,United States
BJI,Bemidji Regional Airport,Bemidji,United States
BTM,Bert Mooney Airport,Butte,United States
BET,Bethel Airport,Bethel,United States
BTT,Bettles Airport,Bettles,United States
BVY,Beverly Municipal Airport,Beverly,United States
BYS,Bicycle Lake Army Air Field,Fort Irwin/Barstow,United States
BIF,Biggs Army Air Field (Fort Bliss),Fort Bliss/El Paso,United States
DUG,Bisbee Douglas International Airport,Douglas Bisbee,United States
FNT,Bishop International Airport,Flint,United States
BIS,Bismarck Municipal Airport,Bismarck,United States
BLH,Blythe Airport,Blythe,United States
IAN,Bob Baker Memorial Airport,Kiana,United States
BUR,Bob Hope Airport,Burbank,United States
CEW,Bob Sikes Airport,Crestview,United States
HRO,Boone County Airport,Harrison,United States
HQM,Bowerman Airport,Hoquiam,United States
BWG,Bowling Green Warren County Regional Airport,Bowling Green,United States
LOU,Bowman Field,Louisville,United States
BFD,Bradford Regional Airport,Bradford,United States
BSF,Bradshaw Army Airfield,Camp Pohakuloa,United States
BRD,Brainerd Lakes Regional Airport,Brainerd,United States
PWT,Bremerton National Airport,Bremerton,United States
SDM,Brown Field Municipal Airport,San Diego,United States
BRO,Brownsville South Padre Island International Airport,Brownsville,United States
NHZ,Brunswick Executive Airport,Brunswick,United States
BQK,Brunswick Golden Isles Airport,Brunswick,United States
BCE,Bryce Canyon Airport,Bryce Canyon,United States
BKC,Buckland Airport,Buckland,United States
BFK,Buckley Air Force Base,Aurora,United States
BKL,Burke Lakefront Airport,Cleveland,United States
BYI,Burley Municipal Airport,Burley,United States
BTV,Burlington International Airport,Burlington,United States
BNO,Burns Municipal Airport,Burns,United States
FCS,Butts AAF (Fort Carson) Air Field,Fort Carson,United States
OZR,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,United States
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,United States
